Stabilized_Glucose_mg_dL,Hemoglobin_g_dL
70.60743288359626,13.075354220457742
72.26429437253827,12.941498219277893
72.79610394185048,13.155758310449006
73.78273732267402,12.150963176150583
74.97500178015919,13.076789055895714
75.10954539919975,13.369889174708415
76.38919733850194,13.974875942293796
76.9914185314626,12.997667964687622
77.15567522838074,12.858237137977708
78.14491169074994,13.045704340429719
78.20057080477478,13.756196671670516
79.73417522571114,13.51533044622296
80.74393254070222,13.120358260937845
81.86805696926349,13.679798689827596
82.74559654776426,13.501135227257695
83.15536705321318,13.950609340951644
83.42420583292567,13.12422393282217
85.3443246717246,13.375019784920074
85.50166474722388,13.34797569334045
87.15939723698229,12.866536335111647
87.16205044866801,13.746440357124076
88.75765360560207,13.780618209012843
90.00074639278107,13.692580612834515
90.17449608387773,13.578287263108184
90.33399010780798,12.992991157485438
91.55811486610597,13.529294242139112
91.85872496875896,13.577776454885953
91.96411603741957,13.351327303405771
93.35730217461038,13.715663665965366
98.46579797600185,14.155763990102281
99.84839349512855,14.93854245700589
100.90279606561188,14.114291284310667
102.03520542178461,14.189417151904033
102.135911338874,14.026398170558384
103.46664672554914,13.143412030164978
103.50751460907077,14.09073823467423
104.20805538872284,14.154585993616744
104.2882183698352,15.358428725658962
105.77016542294217,14.073594999396892
105.78633638395908,14.321015593810746
106.3987827337914,14.170513155113694
109.24286593629482,13.684403902207446
109.43123013987,14.84545350125849
110.29980276230609,14.67435200551833
111.19941307320988,14.718955680399382
112.75450186584303,13.91167359679334
117.02951201944046,15.183282088089236
117.51395205063272,13.793819178479655
118.41677431135614,14.812014018637276
120.16769826387394,15.659585155494941
121.94364176781443,14.114888749065672
124.31751560008298,14.387242446705077
124.46946011223972,14.724034038092563
126.56578822549727,14.474661709302621
127.20748232955918,13.966868044882382
127.50061123201934,14.783671462550126
127.72320747954616,14.223686744227935
129.69656914740733,15.039504667827137
130.13813072776077,14.353601112339561
131.74049173264459,15.626436072945097
135.16560257482467,14.53967947063157
135.76899766921935,14.784097052547681
135.85243326167404,15.353791909456774
136.12265129175296,14.337762786901054
136.82993370915824,15.082983576874714
137.30381841946175,15.63352844285785
138.56279395103138,14.204433293519358
140.13132184907346,15.135204285402965
142.877451278938,15.232417352674581
145.26563291633727,15.543982671047115
147.75430782323787,14.58610648769044
147.887983557565,14.547085303263849
148.45692659452945,15.479871207145571
150.1907884845086,15.402304466282184
150.25667961718705,15.380373429074089
150.51933359925457,15.433583805994848
153.68635534785872,14.982355824592862
154.8063897950017,15.459944506194386
154.839738135454,15.490988692836446
154.9469246226323,14.989315577117262
155.2646105697226,16.285407854521747
156.3693557532315,15.610246706249402
158.24166788294437,14.812389100108286
158.92370829281072,15.74878771320361
159.70075713003177,14.947263838597387
161.1611260067122,15.854307748631701
161.5686904880464,16.04728813930381
164.94137684631528,15.116161903544088
165.27937603524288,16.013929652124386
167.59340168339594,15.777305718856834
168.43100854704136,15.995680043331959
170.02524422866603,16.55880033525852
171.40616585254287,15.509606865398768
173.3448835720608,15.285531230363164
174.37740909786666,15.233365159712097
174.57857370509078,15.273255703081437
176.21952363820154,15.667093276075558
176.65430905410145,15.882616949375196
176.69008373781938,15.850911017428214
178.5575630260569,16.15318944444043
