node,pagerank
244312,0.0007798842946113362
370061,0.0004278281592423856
383056,0.0003935147946358104
413339,0.00035317948897493564
198774,0.0003488436455602375
469169,0.0003164268768066554
396482,0.00031459524169207367
590347,0.00030496829757006735
417254,0.00030280511788409415
698547,0.00029776126986363086
444199,0.00029024915579060044
235384,0.00028267694480498576
682614,0.0002728639775073015
611328,0.000268227342826342
507814,0.0002548615564594257
325604,0.00023616193446478163
692750,0.00022782056104602707
412668,0.00022763445616569676
362090,0.00022223583991313586
473161,0.00021644012947833553
362836,0.00021137195802378142
632984,0.00020513306374758423
513086,0.000196885724609293
413032,0.00019683177995479694
355174,0.0001924457231963579
363119,0.00018155305970683349
362894,0.0001753520241290904
400567,0.0001739112715421483
470819,0.00017086022743360743
491633,0.00016997690070802703
721962,0.0001699071260168364
501329,0.00016170002007149877
693886,0.00016046443683014313
354209,0.00015785043754486431
429986,0.00015699958298008828
433422,0.00015503110247605339
582404,0.00015439370383170072
482503,0.0001525025483449588
272840,0.00015208912024856794
283027,0.00015195549018142684
544920,0.0001497125896306372
160939,0.00014954821601318157
632016,0.00014843676354528283
327446,0.00014574451499111443
341419,0.00014545270331346936
597098,0.00014537267009644288
588823,0.00014492855972202877
436596,0.00014472586900053655
663670,0.00014145667528842707
646103,0.00014107258525177706
248787,0.0001375039680807
594619,0.00013511391056429448
362485,0.00013507034222485836
695495,0.0001344264467328843
589593,0.00013069629353800027
354953,0.00013023143658608566
327630,0.00012912249761635184
583817,0.00012884606857444986
237011,0.00012763172724503105
327652,0.000126096026143878
175614,0.00012431398548072806
242680,0.00012367221548782143
482595,0.0001227627354016899
203316,0.0001220919750305428
355084,0.00011870654258041626
328962,0.00011810569615904153
573924,0.00011688029457659193
394579,0.00011595907841657265
720733,0.00011502251868519238
311723,0.00011481690220458421
295257,0.00011474846378369266
751754,0.00011446568648168928
363301,0.00011409936215449872
269906,0.00011312372888787032
230151,0.00011309741942230024
216986,0.00011296326366708324
330537,0.00011292995034831213
241888,0.00011137498812021393
329655,0.00011040298134171633
270915,0.0001096657939891396
214812,0.00010869280021088246
300001,0.00010818838564742415
281879,0.00010679147342839654
457944,0.0001067389405780009
283457,0.00010497854635824432
436229,0.00010493440564433694
481451,0.00010471526903179679
633868,0.00010430746855354662
301648,0.00010416335861010477
341157,0.00010290720693930255
343330,0.000102036623288613
480218,0.00010171655574060345
369981,0.00010133852374626126
340043,0.0001013044626257401
319212,0.00010075521526832055
271670,0.00010039826009578467
339601,9.79640507751243e-05
339823,9.641974877686474e-05
293860,9.561157738373317e-05
251615,9.321713524654622e-05
381366,9.288406893004029e-05
165619,9.259393806129326e-05
327231,9.252418105042183e-05
222636,9.174981238122528e-05
329069,9.00053931701584e-05
272165,8.983199120319925e-05
391198,8.935376229470204e-05
348725,8.899416680098681e-05
340453,8.886063164898007e-05
680313,8.739617310166266e-05
597356,8.716451762199034e-05
481012,8.635512647556903e-05
408230,8.448180588361613e-05
176951,8.4309472038324e-05
217866,8.33781489276954e-05
298628,8.278213946375589e-05
272443,8.106481794677723e-05
224030,8.043708849895925e-05
592430,7.989866533360968e-05
215073,7.986201556821447e-05
457225,7.945033574713056e-05
600162,7.896711477535905e-05
206508,7.873183464103051e-05
599493,7.847716864595556e-05
253040,7.840561781168733e-05
414196,7.776364343916947e-05
222820,7.746792012554361e-05
747791,7.672170346124784e-05
230043,7.615390470923438e-05
710112,7.547930571577077e-05
455510,7.544561966806296e-05
241230,7.445502628675858e-05
371067,7.413483241654439e-05
173003,7.283596588650528e-05
261708,7.262306977187298e-05
523447,7.223620056121086e-05
237902,7.219124589172353e-05
263695,7.214931089545515e-05
311588,7.138925069946586e-05
453733,7.106253106912545e-05
317507,7.078593946434548e-05
495791,7.021077112502121e-05
343433,7.018378191997582e-05
255835,7.003020799681277e-05
764097,6.966010423816924e-05
329480,6.947753990104969e-05
427914,6.929851325162683e-05
706662,6.868096664168537e-05
748105,6.858789200661018e-05
231344,6.789431411172059e-05
717007,6.785596757038351e-05
764381,6.696473329956966e-05
738882,6.695314546373697e-05
684773,6.654294235140771e-05
305595,6.633977187551476e-05
241593,6.63197488038022e-05
292060,6.61735245836369e-05
318381,6.605357941756446e-05
590390,6.514329179647843e-05
696250,6.475743203516877e-05
726024,6.467139204117562e-05
697290,6.424183810771479e-05
222987,6.41115653366653e-05
231621,6.356614525305352e-05
230349,6.35449721960687e-05
283580,6.334454027022517e-05
379830,6.328673236101929e-05
327169,6.309815706720855e-05
339879,6.294774589776179e-05
630319,6.286206205348474e-05
206811,6.282243611420964e-05
229923,6.273590200833811e-05
692892,6.231015163179271e-05
236003,6.213008168842205e-05
301196,6.206410875978768e-05
543223,6.183574329984105e-05
235704,6.163186172223496e-05
590689,6.135466625935634e-05
283197,6.094858888394763e-05
342251,6.0604485233253125e-05
306376,6.04945505358079e-05
323381,6.0485182881517074e-05
324863,6.016053129704862e-05
326738,5.988146061599085e-05
262553,5.9485793569000935e-05
253605,5.930542319491627e-05
457775,5.859622953822063e-05
323980,5.844677867994851e-05
389005,5.8340796696319275e-05
405633,5.764190931498097e-05
362605,5.7511585452629774e-05
315793,5.699664204720988e-05
244441,5.6816605894280345e-05
548789,5.651509220402641e-05
514923,5.651509220402641e-05
500540,5.6486869512008084e-05
223836,5.619111549714488e-05
208829,5.60936333365525e-05
260760,5.581039580781097e-05
280629,5.578604713269236e-05
